video,duration_s,cascade_latency_s,cascade_cost_usd,adaframe_frames,uniform_frames,vlm_cost_adaframe,vlm_cost_uniform,total_adaframe,total_uniform,net_saving_usd,saving_pct
6kkeGgRG-uE.mp4,102.2,260.43,0.036171,61,102,0.7015,1.173,0.7377,1.173,0.4353,37.1
6CbQOLqZ8IA.mp4,62.6,395.57,0.05494,52,62,0.598,0.713,0.6529,0.713,0.0601,8.4
6-2L4PTV14A.mp4,106.4,605.4,0.084083,76,106,0.874,1.219,0.9581,1.219,0.2609,21.4
7UjqLfjsfMk.mp4,30.0,58.33,0.008102,11,29,0.1265,0.3335,0.1346,0.3335,0.1989,59.6
7T3J4n_PJaI.mp4,82.0,83.5,0.011597,14,82,0.161,0.943,0.1726,0.943,0.7704,81.7
7N9HoLhZGsU.mp4,30.0,109.81,0.015251,37,30,0.4255,0.345,0.4408,0.345,-0.0958,-27.8
7X_6k8CjdVI.mp4,30.0,57.91,0.008043,6,30,0.069,0.345,0.077,0.345,0.268,77.7
7_dgiNoBWio.mp4,63.3,32.61,0.00453,12,63,0.138,0.7245,0.1425,0.7245,0.582,80.3
7AVmI73va4g.mp4,91.3,351.37,0.048802,55,91,0.6325,1.0465,0.6813,1.0465,0.3652,34.9
7ZbLntTvV8o.mp4,31.1,108.23,0.015031,30,31,0.345,0.3565,0.36,0.3565,-0.0035,-1.0
7b8zeykara0.mp4,20.1,27.87,0.00387,16,20,0.184,0.23,0.1879,0.23,0.0421,18.3
7QBgCfKfXqQ.mp4,119.1,206.0,0.028611,27,119,0.3105,1.3685,0.3391,1.3685,1.0294,75.2
7VCYBtx6h4g.mp4,29.8,196.2,0.02725,12,29,0.138,0.3335,0.1652,0.3335,0.1683,50.4
7b5CKSqlz60.mp4,59.9,86.3,0.011986,26,59,0.299,0.6785,0.311,0.6785,0.3675,54.2
7Ol2HYCnVbs.mp4,61.1,226.11,0.031404,41,61,0.4715,0.7015,0.5029,0.7015,0.1986,28.3
7gMZ62PsvRM.mp4,30.8,63.27,0.008788,35,30,0.4025,0.345,0.4113,0.345,-0.0663,-19.2
7is6r6zXFDc.mp4,63.3,83.89,0.011651,12,63,0.138,0.7245,0.1497,0.7245,0.5748,79.3
7ks-zhWCA_Q.mp4,15.0,79.01,0.010973,15,15,0.1725,0.1725,0.1835,0.1725,-0.011,-6.4
7pi6BtYXD1w.mp4,45.0,58.48,0.008122,21,45,0.2415,0.5175,0.2496,0.5175,0.2679,51.8
7iCXk67TIB0.mp4,48.0,112.78,0.015664,38,48,0.437,0.552,0.4527,0.552,0.0993,18.0
7vCet60rr_s.mp4,33.4,41.42,0.005753,15,33,0.1725,0.3795,0.1783,0.3795,0.2012,53.0
7sVGB2_zARY.mp4,45.0,84.07,0.011677,39,44,0.4485,0.506,0.4602,0.506,0.0458,9.1
7kxXVnAtnOQ.mp4,60.0,175.24,0.024339,43,59,0.4945,0.6785,0.5188,0.6785,0.1597,23.5
7nr-irGW9bw.mp4,106.4,168.36,0.023383,31,106,0.3565,1.219,0.3799,1.219,0.8391,68.8
82kYQ7j7X2s.mp4,62.0,33.55,0.004659,17,62,0.1955,0.713,0.2002,0.713,0.5128,71.9
7w_AT2sHBss.mp4,31.3,73.51,0.010209,27,31,0.3105,0.3565,0.3207,0.3565,0.0358,10.0
7gPc6027rb8.mp4,105.7,231.62,0.032169,20,105,0.23,1.2075,0.2622,1.2075,0.9453,78.3
7qRIx5t31zo.mp4,30.0,150.01,0.020835,14,30,0.161,0.345,0.1818,0.345,0.1632,47.3
82-H6MZnT44.mp4,60.8,71.54,0.009936,36,60,0.414,0.69,0.4239,0.69,0.2661,38.6
7ZOKDqjqbX0.mp4,78.5,398.72,0.055378,54,78,0.621,0.897,0.6764,0.897,0.2206,24.6
8Bc0WjTT0Ps.mp4,32.0,30.69,0.004262,25,32,0.2875,0.368,0.2918,0.368,0.0762,20.7
8N9gSS_HRcE.mp4,39.9,23.73,0.003296,10,39,0.115,0.4485,0.1183,0.4485,0.3302,73.6
8-p0CxW87pg.mp4,76.0,116.3,0.016153,56,76,0.644,0.874,0.6602,0.874,0.2138,24.5
8QRs0ejxjEc.mp4,30.2,60.66,0.008425,14,30,0.161,0.345,0.1694,0.345,0.1756,50.9
8Ozc-h-29M0.mp4,60.7,79.7,0.01107,35,60,0.4025,0.69,0.4136,0.69,0.2764,40.1
83nS4EGKU04.mp4,30.6,128.6,0.017862,20,30,0.23,0.345,0.2479,0.345,0.0971,28.2
82n1PX1hVEY.mp4,90.6,140.53,0.019519,56,90,0.644,1.035,0.6635,1.035,0.3715,35.9
8iHEQxJXq9I.mp4,30.0,48.8,0.006778,9,30,0.1035,0.345,0.1103,0.345,0.2347,68.0
